Title,Number of review,Category,Review Comment,Popular food,Online Order,length,word_count,sentiment_score,subjectivity_score,sentiment_class,sentiment_intensity,length_quartile,performance_category
Red Hook Lobster Pound,9,"Pizza, Italian",“The lobster roll was good we also went to a lobster week my mom and my dad ha...”,Paella,Yes,82,18,0.7,0.6000000000000001,Positive,0.7,Long,"Hidden Gems (High Sentiment, Low Volume)"
Tasca,4,Deli,“Consistently good”,No,Yes,19,2,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Sea Fire Grill,1137,"Bar, American",“The lobster bisque was velvety and luscious.”,No,Yes,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Bombay Chowk,6,"Bar, Pub","“Wow! Spicy, delicious and a reasonable...”",No,Yes,43,6,0.44166666666666665,0.8666666666666667,Positive,0.44166666666666665,Long,"Hidden Gems (High Sentiment, Low Volume)"
Gotham Pizza,16,Steakhouse,“Way better than Bleeker St Pizza which...”,No,Yes,43,7,0.5,0.5,Positive,0.5,Long,"Hidden Gems (High Sentiment, Low Volume)"
E-Mo Kimbab,13,"Asian, Taiwanese",“Authentic Kimbob takeout joint in...”,No,Yes,38,5,0.5,0.75,Positive,0.5,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Teppen Ramen,6,Mexican,“Great food and wonderful service”,No,Yes,34,5,0.9,0.875,Positive,0.9,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Pastrami Queen,6,"American, Pizza",“First time going will not be last”,No,No,35,7,0.125,0.19999999999999998,Positive,0.125,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Ben & Jack's Steakhouse,87,"American, Bar",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No,82,12,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
Village Lantern,12,"Chinese, Asian",“good boozy brunch!”,No,No,20,3,0.875,0.6000000000000001,Positive,0.875,Short,"Hidden Gems (High Sentiment, Low Volume)"
Wall street Grill,9,Mexican,“Wonderful restaurant”,No,No,22,2,1.0,1.0,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Yumpling,6,"Italian, Pizza",“Delicious Taiwanese food”,No,No,26,3,1.0,1.0,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Rockaway Beach Surf Club,8,"Mexican, Fast Food",“Secret surf club”,No,No,18,3,-0.4,0.7,Negative,0.4,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Bluestone Lane Manhattan West Cafe,7,"Pub, Gastropub",“Good food and excellent cappuccino!”,No,No,37,5,0.85,0.8,Positive,0.85,Medium,"Hidden Gems (High Sentiment, Low Volume)"
The Marshal,323,Indian,“Quite possibly the best Pizza I ever ate!”,No,No,43,8,0.5,0.65,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
The Stinger Cocktail Bar & Kitchen,52,Chinese,“Also visited the bar in the evening for...”,No,No,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
A-Jiao,16,"American, Caribbean","“A-Jlao restaurant in NYC, NY”",No,No,30,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Chipotle Mexican Grill,12,Deli,“Plenty”,No,No,8,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
PQR Roman Pizzeria,12,"Cafe, Latin",“Wonderful home made pizza”,No,No,27,4,1.0,1.0,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Chipotle Mexican Grill,14,"Mediterranean, European",“HELP!!!!”,No,No,10,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
The Elgin,55,"Mediterranean, European",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No,70,13,-0.2,0.3,Negative,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Dhamaka,8,"Mediterranean, European",“Unapologetically efficient”,No,No,28,2,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Mr. Sun,4,"Mediterranean, European",“Great Value Excellent Food”,No,No,28,4,0.9,0.875,Positive,0.9,Short,"Hidden Gems (High Sentiment, Low Volume)"
Patrick's Place,4,"Mediterranean, European",“... Rice and Peas - brought back fond m...”,No,No,44,9,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Blake & Todd,8,"Mediterranean, European",“Satisfaction Guaranteed”,No,No,25,2,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Mae Mae Cafe,12,"Mediterranean, European",“Cute & Tasty”,No,No,14,3,0.5,1.0,Positive,0.5,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
FESTIVAL CAFE,4,"American, Cafe",“Lovely lunch”,Lovely Lunch,Yes,14,2,0.5,0.75,Positive,0.5,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
sushi AMANE,11,"Japanese, Sushi",“Very High Quality”,Tuna,Yes,19,3,0.20800000000000002,0.7020000000000001,Positive,0.20800000000000002,Short,"Needs Improvement (Low Sentiment, Low Volume)"
88 Lan Zhou Handmade Noodles,11,"Asian, Chinese",“Best noodles”,Salad,Yes,14,2,1.0,0.3,Positive,1.0,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Paisley,4,"Latin, Asian",“Amazing food”,Ribeye,Yes,14,2,0.6000000000000001,0.9,Positive,0.6000000000000001,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Suyo Gastrofusion,7,"Chinese, Asian",“Good Eats but Gastronomical Prices”,Steak,Yes,36,5,0.7,0.6000000000000001,Positive,0.7,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Vestry,24,"Mexican, Latin",“The tuna toast !”,Carbonara,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Grand Sichuan,36,"Fast Food, Middle Eastern","“Excellent, authentic Sichuan Food”",No,Yes,35,4,0.75,0.875,Positive,0.75,Medium,"Stars (High Sentiment, High Volume)"
El Kallejon,13,"American, Cafe",“Delicious food!”,No,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
The Falafel Shop,14,"Italian, Pizza",“Great falafel”,No,Yes,15,2,0.8,0.75,Positive,0.8,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Outro,5,Mexican,“Tasty. Healthy. Quickly”,No,Yes,25,3,0.41666666666666663,0.5,Positive,0.41666666666666663,Short,"Hidden Gems (High Sentiment, Low Volume)"
Ari Sushi,4,Thai,“Good food and great service”,No,Yes,29,5,0.75,0.675,Positive,0.75,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Salumeria Rosi,400,Pub,“Food was quite good and the cheese and meats were an ideal meal with salad.”,No,Yes,77,15,0.8,0.8,Positive,0.8,Long,"Stars (High Sentiment, High Volume)"
Dos Toros Taqueria,12,"American, Middle Eastern",“Great and quick option with dine in...”,No,Yes,40,7,0.5666666666666667,0.625,Positive,0.5666666666666667,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Thaimee Love,4,"Seafood, Soups",“Travel And Food”,No,Yes,17,3,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Fashion Bar & Restaurant,4,"Japanese, Sushi",“Fabulous Cocktails”,No,Yes,20,2,0.4,1.0,Positive,0.4,Short,"Hidden Gems (High Sentiment, Low Volume)"
MacDougal Street Ale House,18,"Chinese, Thai",“Fun place with friendly staff”,No,Yes,31,5,0.3375,0.35,Positive,0.3375,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Carnegie John's,11,"Steakhouse, American",“Amazing Quality Restaurant Quality...”,No,Yes,39,4,0.6000000000000001,0.9,Positive,0.6000000000000001,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Benjamin Steakhouse,2490,Fast Food,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Atami Japanese Fusion,18,"Chinese, Asian",“Suprised experiance”,No,Yes,21,2,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Mango Mango Dessert,6,"American, Seafood",“A total treat for mango fans!”,No,Yes,31,6,0.0,0.75,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Tabernacle Steakhouse,7,"American, Bar",“My steak was delectable and cooked to perfection.”,No,No,51,8,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Pret A Manger,21,"Wine Bar, Pub",“Good for a quick fresh bite.”,No,No,30,6,0.4444444444444444,0.5333333333333333,Positive,0.4444444444444444,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Nom Wah Nolita,14,"Asian, Thai",“God Place to Experience Dim Sum”,No,No,33,6,0.1,0.5,Neutral,0.1,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
MERMAID OYSTER BAR TIMES SQUARE,9,"Wine Bar, Mediterranean",“Best oysters in my life”,No,No,25,5,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
5 Boroughs Pizza,5,"Italian, Pizza",“Good pizza!”,No,No,13,2,0.875,0.6000000000000001,Positive,0.875,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Library of Distilled Spirits,12,"Fast Food, American",“Great Light Fare”,No,No,18,3,0.6000000000000001,0.725,Positive,0.6000000000000001,Short,"Hidden Gems (High Sentiment, Low Volume)"
Bar Veloce,42,"Sushi, Japanese",“Low-key and excellent”,No,No,23,3,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Charm's New York,12,"Italian, Romana",“A standout in Chelsea”,No,No,23,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Sticky's Finger Joint,5,"Italian, Romana",“Good food for the price. Chicken fingers...”,No,No,45,7,0.04999999999999999,0.775,Neutral,0.04999999999999999,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Balzem,100,"Italian, Romana",“Amazing!!!”,No,No,12,1,1.0,0.9,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Gino's Pizzeria & Restaurant,19,"Italian, Romana",“Ginos is delicious and affordable and...”,No,No,42,6,1.0,1.0,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
McDonald's,47,"Italian, Romana",“A nicer McDonalds”,No,No,19,3,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Dai Hachi,11,"Italian, Romana",“Great food & service”,No,No,22,4,0.8,0.75,Positive,0.8,Short,"Hidden Gems (High Sentiment, Low Volume)"
Boba Guys,6,"Italian, Romana",“Really good”,No,No,13,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Marinara Pizza,6,"Italian, Romana",“Greg & Kat’s Marinara Pizza Restaurant.”,No,No,41,6,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Moonstruck Eatery,14,American,"“Burgers, salads, draft beers, GREAT...”",Dumplings,Yes,40,5,0.8,0.75,Positive,0.8,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Hemlock,7,Cajun & Creole,“Heavenly!”,Sashimi,Yes,11,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Mr. White,7,American,“Thankful!”,Chinatown,Yes,11,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Capitale,14,"American, Bar",“Great event space”,Garden,Yes,19,3,0.8,0.75,Positive,0.8,Short,"Hidden Gems (High Sentiment, Low Volume)"
Park Bar,12,"Italian, Mediterranean",“Union Square Area”,Dumplings,Yes,19,3,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Allora Fifth Ave,9,Italian,“Good experience for dinner”,No,Yes,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Pomodoro Italian Grill,22,"Asian, Vietnamese",“Good Italian”,No,Yes,14,2,0.35,0.30000000000000004,Positive,0.35,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
310 Bowery Bar NYC,11,"Barbecue, Asian",“Great NYC bar”,No,Yes,15,3,0.8,0.75,Positive,0.8,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
A la Saigon,20,"Chinese, Asian",“Amazing Pho!!”,No,Yes,15,2,0.9375000000000001,0.9,Positive,0.9375000000000001,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Malaysia Beef Jerky,13,Fast Food,“Very Tasty Beef Jerky”,No,Yes,23,4,0.2,0.3,Positive,0.2,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Cafe Clementine,9,"American, Cafe",“Excellent Sandwich”,No,Yes,20,2,1.0,1.0,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Tim Ho Wan East Village,207,Pizza,“Super dumplings!”,No,Yes,18,2,0.41666666666666663,0.6666666666666666,Positive,0.41666666666666663,Short,"Stars (High Sentiment, High Volume)"
Subway,17,"Sushi, Asian",“Not as bad as I thought”,No,No,25,6,-0.6999999999999998,0.6666666666666666,Negative,0.6999999999999998,Short,"Needs Improvement (Low Sentiment, Low Volume)"
My NY Bakery Cafe,17,"Japanese, Sushi",“Muffins rock!”,No,No,15,2,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Pizza and Shakes,4,"Chinese, Asian",“Amazing pizzas and felicitous shakes”,No,No,38,5,0.65,0.95,Positive,0.65,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Fresh Ginger,4,"Chinese, Asian",“So good food !!!”,No,No,18,4,1.0,0.6000000000000001,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
33 Gourmet Deli,17,"Irish, British",“Great place to grab a quick takeaway lunch”,No,No,44,8,0.5666666666666667,0.625,Positive,0.5666666666666667,Long,"Hidden Gems (High Sentiment, Low Volume)"
Hatsuhana Sushi Restaurant,425,Mexican,"“... notch, including the O-toro sashimi.”",No,No,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Hunan Slurp,11,"Bar, Pub",“The Real Deal”,No,No,15,3,0.2,0.30000000000000004,Positive,0.2,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Food Station,10,"Asian, Chinese",“Great Chinatown Experience!”,No,No,29,3,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
P. McDaid’s Irish Pub,8,"Japanese, Sushi",“Delicious Pub Brunch”,No,No,22,3,1.0,1.0,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Chipotle Mexican Grill,12,Pizza,“good mexican food and rather quick”,No,No,36,6,0.3444444444444444,0.3666666666666667,Positive,0.3444444444444444,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Goldie's Tavern,7,American,“Close to Maddison Square Garden.”,No,No,34,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Little Alley,44,"American, Cafe",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,No,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Mido Japanese Restaurant,13,"Italian, Pizza",“Delicious and inviting food”,No,No,29,4,1.0,1.0,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Little Italy Pizza,11,American,“Very nice lunch special”,No,No,25,4,0.5685714285714286,0.7857142857142857,Positive,0.5685714285714286,Short,"Hidden Gems (High Sentiment, Low Volume)"
Church & Dey,89,American,"“Overpriced, limited menu”",No,No,26,3,-0.07142857142857142,0.14285714285714285,Neutral,0.07142857142857142,Short,"Popular but Declining (Low Sentiment, High Volume)"
Doughnut Plant,9,"Cafe, Greek",“Great selection in grand central terminal”,No,No,43,6,0.43333333333333335,0.6666666666666666,Positive,0.43333333333333335,Long,"Hidden Gems (High Sentiment, Low Volume)"
Serafina Ludlow LES,19,Fast Food,“Actual food is great but the pizza was a...”,No,No,45,9,0.4,0.425,Positive,0.4,Long,"Hidden Gems (High Sentiment, Low Volume)"
Brickyard craft kitchen & beer,39,"Pizza, Italian",“skip breakfast”,No,No,16,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Met Grill,12,Indian,"“Good food, awesome staff”",No,No,26,4,0.85,0.8,Positive,0.85,Short,"Hidden Gems (High Sentiment, Low Volume)"
GFG Bakery Cafe,19,"Pizza, Italian",“Average Subway!”,No,No,17,2,-0.1875,0.39999999999999997,Negative,0.1875,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Subway,34,"Pizza, Italian",“Needs improved”,No,No,16,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Two Boots,7,"Pizza, Italian","“Incredible, authentic punjabi food”",No,No,36,4,0.7,0.825,Positive,0.7,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Doaba Deli,41,"Pizza, Italian","“Good, not typical NY slice”",No,No,28,5,0.39166666666666666,0.55,Positive,0.39166666666666666,Short,"Stars (High Sentiment, High Volume)"
Motorino East Village,290,"Italian, Pizza",“Excellent Pizza”,Dumplings,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Pa Pa Thai Cuisine,10,Thai,“Good Thai”,Sashimi,Yes,11,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Amaze58,19,"Japanese, Sushi",“Amazing happy hour”,Dumplings,Yes,20,3,0.7000000000000001,0.95,Positive,0.7000000000000001,Short,"Hidden Gems (High Sentiment, Low Volume)"
E Noodle,6,"Italian, Bar",“Another great meal at E Noodle”,Pizza,Yes,32,6,0.8,0.75,Positive,0.8,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Osteria La Baia,12,"Chinese, Japanese",“Good food”,Steak,Yes,11,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Tiger Sugar,6,"Asian, Chinese",“Bubblicious!”,Beer,Yes,14,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Little Alley,44,Indian,“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,Yes,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Deli On Madison,24,Cafe,“Very good salad but hell's teeth...”,No,Yes,37,6,0.9099999999999999,0.7800000000000001,Positive,0.9099999999999999,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Park Terrace Deli,13,"American, German",“Good eat in Inwood neighborhood”,No,Yes,33,5,0.7,0.6000000000000001,Positive,0.7,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Goa New York,4,"Pizza, Italian",“Excellent modern and traditional Indian...”,No,Yes,44,5,0.39999999999999997,0.6833333333333332,Positive,0.39999999999999997,Long,"Hidden Gems (High Sentiment, Low Volume)"
Louis,6,"Asian, Thai","“Great coffee, sweetest staff”",No,Yes,30,4,0.8,0.75,Positive,0.8,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Treadwell Park Downtown,18,French,“Good find!”,No,Yes,12,2,0.875,0.6000000000000001,Positive,0.875,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Stone Bridge Pizza & Salad,41,Pub,"“Good, not typical NY slice”",No,Yes,28,5,0.39166666666666666,0.55,Positive,0.39166666666666666,Short,"Stars (High Sentiment, High Volume)"
Thai Direct Bowls,5,"Bar, American",“Really Tasty Thai Food”,No,Yes,24,4,0.2,0.2,Positive,0.2,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Le Petit Parisien,7,"Fast Food, Sushi",“Colazione”,No,Yes,11,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Hale and Hearty Soups,10,"Japanese, Sushi","“Soup, like grandma’s”",No,Yes,22,3,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Slowly Shirley,9,Italian,“Great cocktails”,No,Yes,17,2,0.8,0.75,Positive,0.8,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Poke Green,8,"Asian, Vietnamese","“Fresh, healthy and satisfying”",No,Yes,31,4,0.43333333333333335,0.6666666666666666,Positive,0.43333333333333335,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Hatsuhana Sushi Restaurant,425,American,"“... notch, including the O-toro sashimi.”",No,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Mini Deli,8,Chinese,“What a find!”,No,Yes,14,3,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Chop't Creative Salad,10,"American, Pizza",“Instead of a Steak Dinner...”,No,Yes,30,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Luu's Baguette,20,"Japanese, Sushi",“Good Pho”,No,Yes,10,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Westside Market NYC,4,"American, Bar",“Fancy grocery store”,No,Yes,21,3,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Hui Restaurant and Bar,10,"American, Fast Food",“We ordered the dumplings and they tasted fresh but just needed a little more...”,No,No,81,14,0.2041666666666667,0.5,Positive,0.2041666666666667,Long,"Needs Improvement (Low Sentiment, Low Volume)"
The Marshal,323,"Asian, Korean",“Quite possibly the best Pizza I ever ate!”,No,No,43,8,0.5,0.65,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Amano Sushi,9,"American, Steakhouse",“Great sushi”,No,No,13,2,0.8,0.75,Positive,0.8,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
The Headless Horseman,25,"Chinese, Asian",“Great pre show spot”,No,No,21,4,0.8,0.75,Positive,0.8,Short,"Hidden Gems (High Sentiment, Low Volume)"
The Little Beet,7,Pub,“Healthy and delish! GO TO restaurant...”,No,No,41,6,0.625,0.5,Positive,0.625,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Mokja,16,"American, Cafe",“Delicious”,No,No,11,1,1.0,1.0,Positive,1.0,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Cosmos Restaurant,8,"Italian, Mediterranean",“Real New York”,No,No,15,3,0.20454545454545453,0.6818181818181818,Positive,0.20454545454545453,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Royal 35 Steakhouse,591,"Italian, Mediterranean","“Superb Steak, really delicious”",No,No,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Good Kitchen Seafood Restaurant,18,"Italian, Mediterranean",“Food Delicious.....Business practice is...”,No,No,44,4,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Natureworks Restaurant,9,"Italian, Mediterranean",“For NYC--Cheap and Cheerful!”,No,No,30,4,0.5,1.0,Positive,0.5,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Monster,35,"Italian, Mediterranean",“COLD A/C and cold beer and dancing at 12:00 NOON”,No,No,50,10,-0.6,1.0,Negative,0.6,Long,"Popular but Declining (Low Sentiment, High Volume)"
wagamama,8,"Italian, Mediterranean","“Nice lunch, great service”",No,No,27,4,0.7,0.875,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Daily Provisions,10,"Italian, Mediterranean",“Crowded and get your own table”,No,No,32,6,0.6,1.0,Positive,0.6,Medium,"Hidden Gems (High Sentiment, Low Volume)"
La Pecora Bianca - Meatpacking,4,Italian,“Great pasta lunch”,Lobster Bisque,Yes,19,3,0.8,0.75,Positive,0.8,Short,"Hidden Gems (High Sentiment, Low Volume)"
Gooey on the Inside Cookies,10,Chinese,“Yummy cookies”,Sliders,Yes,15,2,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Ali Baba Organic Marketplace,9,"American, Bar",“Very good food”,Sushi,Yes,16,3,0.9099999999999999,0.7800000000000001,Positive,0.9099999999999999,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
The Blacksmith Bar & Kitchen,11,"Lebanese, Mediterranean",“Good”,No,Yes,6,1,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Al Bustan,92,"American, Steakhouse",“A favorite Lebanese restaurant”,No,Yes,32,4,0.5,1.0,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Royal 35 Steakhouse,591,Chinese,"“Superb Steak, really delicious”",No,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Ling Kee Beef Jerky,10,"Italian, Pizza",“Best jerky I ever had.”,No,Yes,24,5,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Vino E Grano,30,"Pizza, Italian","“Average Food, Good Location, Rude Servers”",No,Yes,43,6,0.08333333333333331,0.5333333333333333,Neutral,0.08333333333333331,Long,"Popular but Declining (Low Sentiment, High Volume)"
Blue Sky Deli,11,"Italian, Mediterranean",“I needed a quick sandwich and settled one...”,No,Yes,46,8,0.3333333333333333,0.5,Positive,0.3333333333333333,Long,"Hidden Gems (High Sentiment, Low Volume)"
West Bank Gourmet,10,"Chinese, Asian",“A Hidden Gem”,No,Yes,14,3,-0.16666666666666666,0.3333333333333333,Negative,0.16666666666666666,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Bar Cyrk,11,Japanese,“Great Place for a Cocktail”,No,Yes,28,5,0.8,0.75,Positive,0.8,Short,"Hidden Gems (High Sentiment, Low Volume)"
Allora Fifth Ave,9,Deli,“Good experience for dinner”,No,Yes,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
88 Palace,40,Chinese,“Dim Sum heaven”,No,No,16,3,0.1,0.5,Neutral,0.1,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Kitakata Ramen Ban Nai,6,"Mexican, Latin",“Good ramen”,No,No,12,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Spring St Finest Deli,7,"Steakhouse, Bar",“Open all hours”,No,No,16,3,0.0,0.5,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Philippe,9,"Bar, Pub",“Nice atmosphere”,No,No,17,2,0.6,1.0,Positive,0.6,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Villa Cemita,16,"Japanese, Asian",“Way yummy Paella and Plato De Mama*! 💋”,No,No,40,8,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Sea Fire Grill,1137,"Barbecue, Vietnamese",“The lobster bisque was velvety and luscious.”,No,No,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Bedford Falls,8,"Fast Food, Cafe",“Drinks”,No,No,8,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Pado,6,Japanese,“Nite out with a friend”,No,No,24,5,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Madam Vo Bbq,5,"Pub, Gastropub",“Great authentic Vietnamese BBQ”,No,No,32,4,0.65,0.75,Positive,0.65,Medium,"Hidden Gems (High Sentiment, Low Volume)"
